team,Australia,India,England,New Zealand,South Africa,West Indies,Pakistan,Sri Lanka,Bangladesh,Ireland,Scotland,Netherlands
Australia,0,28,32,26,8,15,14,8,5,7,0,0
India,28,0,33,8,20,13,13,20,16,2,0,0
England,32,33,0,28,19,25,17,8,3,3,1,0
New Zealand,26,8,28,0,19,12,10,12,5,4,0,0
South Africa,8,20,19,19,0,18,23,16,9,8,1,0
West Indies,15,13,25,12,18,0,15,15,7,9,1,0
Pakistan,14,13,17,10,23,15,0,14,12,14,0,1
Sri Lanka,8,20,8,12,16,15,14,0,15,3,3,1
Bangladesh,5,16,3,5,9,7,12,15,0,14,8,3
Ireland,7,2,3,4,8,9,14,3,14,0,16,15
Scotland,0,0,1,0,1,1,0,3,8,16,0,15
Netherlands,0,0,0,0,0,0,1,1,3,15,15,0
