team,Australia,India,England,New Zealand,South Africa,West Indies,Pakistan,Sri Lanka,Bangladesh,Ireland,Scotland,Netherlands
Australia,0.5,0.75,0.594,0.769,0.75,0.867,1.0,1.0,1.0,1.0,0.5,0.5
India,0.25,0.5,0.303,0.25,0.5,0.846,0.769,0.85,0.812,1.0,0.5,0.5
England,0.406,0.697,0.5,0.857,0.842,0.84,0.941,0.75,1.0,0.667,1.0,0.5
New Zealand,0.231,0.75,0.143,0.5,0.737,0.75,0.8,0.833,1.0,1.0,0.5,0.5
South Africa,0.25,0.5,0.158,0.263,0.5,0.5,0.478,0.625,0.889,0.875,1.0,0.5
West Indies,0.133,0.154,0.16,0.25,0.5,0.5,0.8,0.667,1.0,0.889,1.0,0.5
Pakistan,0.0,0.231,0.059,0.2,0.522,0.2,0.5,0.643,0.667,0.571,0.5,1.0
Sri Lanka,0.0,0.15,0.25,0.167,0.375,0.333,0.357,0.5,0.733,0.667,1.0,1.0
Bangladesh,0.0,0.188,0.0,0.0,0.111,0.0,0.333,0.267,0.5,0.571,0.875,0.667
Ireland,0.0,0.0,0.333,0.0,0.125,0.111,0.429,0.333,0.429,0.5,0.625,0.933
Scotland,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.125,0.375,0.5,0.6
Netherlands,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.333,0.067,0.4,0.5
