team,Australia,India,England,New Zealand,South Africa,West Indies,Pakistan,Sri Lanka,Bangladesh,Ireland,Scotland,Netherlands
Australia,0.5,0.708,0.699,0.89,0.657,0.887,1.0,1.0,1.0,1.0,0.5,0.5
India,0.292,0.5,0.405,0.201,0.367,0.831,0.832,0.882,0.881,1.0,0.5,0.5
England,0.301,0.595,0.5,0.814,0.858,0.881,0.987,0.597,1.0,0.629,1.0,0.5
New Zealand,0.11,0.799,0.186,0.5,0.746,0.821,0.641,0.749,1.0,1.0,0.5,0.5
South Africa,0.343,0.633,0.142,0.254,0.5,0.572,0.531,0.494,0.804,0.876,1.0,0.5
West Indies,0.113,0.169,0.119,0.179,0.428,0.5,0.835,0.424,1.0,0.782,1.0,0.5
Pakistan,0.0,0.168,0.013,0.359,0.469,0.165,0.5,0.598,0.467,0.409,0.5,1.0
Sri Lanka,0.0,0.118,0.403,0.251,0.506,0.576,0.402,0.5,0.904,0.533,1.0,1.0
Bangladesh,0.0,0.119,0.0,0.0,0.196,0.0,0.533,0.096,0.5,0.504,0.791,0.521
Ireland,0.0,0.0,0.371,0.0,0.124,0.218,0.591,0.467,0.496,0.5,0.522,0.951
Scotland,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.209,0.478,0.5,0.543
Netherlands,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.479,0.049,0.457,0.5
