team,Australia,India,England,New Zealand,South Africa,West Indies,Pakistan,Sri Lanka,Bangladesh,Ireland,Scotland,Netherlands
Australia,0.5,0.812,0.714,0.909,0.667,0.833,1.0,1.0,1.0,1.0,0.5,0.5
India,0.188,0.5,0.421,0.0,0.333,0.833,0.8,0.846,0.909,1.0,0.5,0.5
England,0.286,0.579,0.5,0.81,0.889,0.9,1.0,0.5,1.0,0.667,1.0,0.5
New Zealand,0.091,1.0,0.19,0.5,0.7,0.8,0.5,0.75,1.0,1.0,0.5,0.5
South Africa,0.333,0.667,0.111,0.3,0.5,0.625,0.5,0.4,0.75,0.8,1.0,0.5
West Indies,0.167,0.167,0.1,0.2,0.375,0.5,0.9,0.4,1.0,0.833,1.0,0.5
Pakistan,0.0,0.2,0.0,0.5,0.5,0.1,0.5,0.625,0.4,0.444,0.5,1.0
Sri Lanka,0.0,0.154,0.5,0.25,0.6,0.6,0.375,0.5,0.9,0.5,1.0,1.0
Bangladesh,0.0,0.091,0.0,0.0,0.25,0.0,0.6,0.1,0.5,0.5,0.833,0.5
Ireland,0.0,0.0,0.333,0.0,0.2,0.167,0.556,0.5,0.5,0.5,0.583,0.909
Scotland,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.167,0.417,0.5,0.556
Netherlands,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.091,0.444,0.5
