match_id,team1,team2,winner,toss_winner,toss_decision,bat_first,venue,date,event,is_val_2022,is_val_2024
355988,India,New Zealand,New Zealand,New Zealand,bat,New Zealand,Trent Bridge,2009-06-18,ICC Women's World Twenty20,False,False
355989,England,Australia,England,England,field,Australia,Kennington Oval,2009-06-19,ICC Women's World Twenty20,False,False
391794,England,Australia,Australia,Australia,bat,Australia,County Ground,2009-06-25,,False,False
423391,South Africa,West Indies,West Indies,South Africa,field,West Indies,Boland Bank Park,2009-10-28,West Indies Women in South Africa T20I Series,False,False
412716,Australia,India,Australia,India,bat,India,"""Beausejour Stadium, Gros Islet""",2010-05-13,ICC Women's World Twenty20,False,False
412717,West Indies,New Zealand,New Zealand,West Indies,field,New Zealand,"""Beausejour Stadium, Gros Islet""",2010-05-14,ICC Women's World Twenty20,False,False
412718,Australia,New Zealand,Australia,Australia,bat,Australia,"""Kensington Oval, Bridgetown""",2010-05-16,ICC Women's World Twenty20,False,False
476947,New Zealand,Australia,Australia,New Zealand,bat,New Zealand,Saxton Oval,2010-12-30,Rose Bowl,False,False
492547,England,India,England,England,bat,England,County Ground,2011-06-26,NatWest Women's T20 Quadrangular Series,False,False
527688,New Zealand,England,England,England,field,New Zealand,Westpac Stadium,2012-02-17,England Women in New Zealand T20I Series,False,False
527689,New Zealand,England,England,New Zealand,field,England,Seddon Park,2012-02-19,England Women in New Zealand T20I Series,False,False
527690,New Zealand,England,England,New Zealand,field,England,Eden Park,2012-02-22,England Women in New Zealand T20I Series,False,False
542850,England,India,England,India,field,England,St Lawrence Ground,2012-06-26,India Women in England T20I Series,False,False
542851,England,India,England,India,bat,India,County Ground,2012-06-28,India Women in England T20I Series,False,False
565844,England,Pakistan,England,Pakistan,bat,Pakistan,Haslegrave Ground,2012-09-04,Pakistan Women in England T20I Series,False,False
565845,England,Pakistan,England,England,bat,England,Haslegrave Ground,2012-09-05,Pakistan Women in England T20I Series,False,False
551593,England,West Indies,England,West Indies,bat,West Indies,Riverside Ground,2012-09-08,West Indies Women in England T20I Series,False,False
551594,England,West Indies,England,West Indies,field,England,Old Trafford,2012-09-10,West Indies Women in England T20I Series,False,False
551595,England,West Indies,England,England,bat,England,County Ground,2012-09-13,West Indies Women in England T20I Series,False,False
551596,England,West Indies,England,England,bat,England,County Ground,2012-09-15,West Indies Women in England T20I Series,False,False
551597,England,West Indies,West Indies,West Indies,field,England,Arundel Castle Cricket Club Ground,2012-09-16,West Indies Women in England T20I Series,False,False
533300,New Zealand,West Indies,West Indies,West Indies,field,New Zealand,Galle International Stadium,2012-09-26,ICC Women's World Twenty20,False,False
533299,Sri Lanka,South Africa,South Africa,South Africa,field,Sri Lanka,Galle International Stadium,2012-09-26,ICC Women's World Twenty20,False,False
533302,Australia,India,Australia,India,bat,India,Galle International Stadium,2012-09-27,ICC Women's World Twenty20,False,False
533301,England,Pakistan,England,Pakistan,field,England,Galle International Stadium,2012-09-27,ICC Women's World Twenty20,False,False
533303,New Zealand,South Africa,New Zealand,South Africa,field,New Zealand,Galle International Stadium,2012-09-28,ICC Women's World Twenty20,False,False
533304,Sri Lanka,West Indies,Sri Lanka,West Indies,field,Sri Lanka,Galle International Stadium,2012-09-28,ICC Women's World Twenty20,False,False
533306,England,India,England,India,bat,India,Galle International Stadium,2012-09-29,ICC Women's World Twenty20,False,False
533305,Australia,Pakistan,Australia,Australia,bat,Australia,Galle International Stadium,2012-09-29,ICC Women's World Twenty20,False,False
533307,South Africa,West Indies,West Indies,West Indies,field,South Africa,Galle International Stadium,2012-09-30,ICC Women's World Twenty20,False,False
533308,Sri Lanka,New Zealand,New Zealand,Sri Lanka,bat,Sri Lanka,Galle International Stadium,2012-09-30,ICC Women's World Twenty20,False,False
533309,India,Pakistan,Pakistan,Pakistan,bat,Pakistan,Galle International Stadium,2012-10-01,ICC Women's World Twenty20,False,False
533310,Australia,England,England,Australia,bat,Australia,Galle International Stadium,2012-10-01,ICC Women's World Twenty20,False,False
584772,Sri Lanka,India,India,Sri Lanka,bat,Sri Lanka,Nondescripts Cricket Club Ground,2012-10-03,ICC Women's World Twenty20,False,False
533311,England,New Zealand,England,England,field,New Zealand,R Premadasa Stadium,2012-10-04,ICC Women's World Twenty20,False,False
533312,Australia,West Indies,Australia,Australia,bat,Australia,R Premadasa Stadium,2012-10-05,ICC Women's World Twenty20,False,False
533313,Australia,England,Australia,England,field,Australia,R Premadasa Stadium,2012-10-07,ICC Women's World Twenty20,False,False
584924,India,Pakistan,India,Pakistan,bat,Pakistan,Guanggong International Cricket Stadium,2012-10-28,Asian Cricket Council Women's Twenty20 Asia Cup,False,False
584923,Bangladesh,Sri Lanka,Bangladesh,Sri Lanka,field,Bangladesh,Guanggong International Cricket Stadium,2012-10-28,Asian Cricket Council Women's Twenty20 Asia Cup,False,False
584928,Bangladesh,Pakistan,Pakistan,Pakistan,field,Bangladesh,Guanggong International Cricket Stadium,2012-10-30,Asian Cricket Council Women's Twenty20 Asia Cup,False,False
584929,India,Pakistan,India,India,bat,India,Guanggong International Cricket Stadium,2012-10-31,Asian Cricket Council Women's Twenty20 Asia Cup,False,False
588498,West Indies,South Africa,West Indies,South Africa,bat,South Africa,"""Beausejour Stadium, Gros Islet""",2013-01-19,South Africa Women in West Indies T20I Series,False,False
588499,West Indies,South Africa,West Indies,West Indies,field,South Africa,"""Beausejour Stadium, Gros Islet""",2013-01-20,South Africa Women in West Indies T20I Series,False,False
603243,Sri Lanka,West Indies,West Indies,Sri Lanka,bat,Sri Lanka,R Premadasa Stadium,2013-03-03,West Indies Women in Sri Lanka T20I Series,False,False
603244,Sri Lanka,West Indies,West Indies,Sri Lanka,field,West Indies,R Premadasa Stadium,2013-03-05,West Indies Women in Sri Lanka T20I Series,False,False
603246,Sri Lanka,West Indies,West Indies,West Indies,bat,West Indies,R Premadasa Stadium,2013-03-08,West Indies Women in Sri Lanka T20I Series,False,False
627008,England,Pakistan,England,England,bat,England,Haslegrave Ground,2013-07-05,Pakistan Women in England T20I Series,False,False
627009,England,Pakistan,Pakistan,Pakistan,bat,Pakistan,Haslegrave Ground,2013-07-05,Pakistan Women in England T20I Series,False,False
644941,Ireland,Pakistan,Pakistan,Pakistan,bat,Pakistan,YMCA Cricket Club,2013-07-16,,False,False
640941,Netherlands,Pakistan,Pakistan,Netherlands,field,Pakistan,Merrion Cricket Club Ground,2013-07-27,ICC Women's World Twenty20 Qualifier,False,False
640947,Ireland,Pakistan,Pakistan,Pakistan,field,Ireland,YMCA Cricket Club,2013-07-29,ICC Women's World Twenty20 Qualifier,False,False
