team,bat_overall,bat_pp,bat_mid,bat_death,bowl_overall,bowl_pp,bowl_mid,bowl_death,chase_skill,defend_skill,win_rate,recent_form,n_matches,fast_bowling,spin_bowling,fielding,pressure_handling,homework,captaincy
Australia,0.945,0.931,0.95,0.95,0.916,0.95,0.852,0.95,0.95,0.95,0.95,0.95,150,0.9,0.72,0.92,0.95,0.95,0.85
India,0.754,0.888,0.702,0.715,0.593,0.537,0.451,0.753,0.539,0.479,0.474,0.58,159,0.55,0.88,0.8,0.7,0.88,0.75
England,0.883,0.95,0.865,0.858,0.908,0.849,0.95,0.909,0.895,0.947,0.934,0.92,172,0.82,0.82,0.85,0.82,0.88,0.8
New Zealand,0.638,0.718,0.556,0.66,0.813,0.69,0.866,0.844,0.452,0.542,0.466,0.56,128,0.78,0.6,0.88,0.85,0.85,0.82
South Africa,0.615,0.591,0.507,0.725,0.298,0.645,0.171,0.193,0.527,0.165,0.326,0.539,148,0.85,0.55,0.88,0.65,0.8,0.72
West Indies,0.271,0.357,0.351,0.148,0.719,0.608,0.864,0.662,0.362,0.25,0.299,0.352,134,0.68,0.52,0.72,0.62,0.6,0.6
Pakistan,0.134,0.087,0.133,0.163,0.639,0.745,0.806,0.426,0.17,0.133,0.115,0.2,137,0.62,0.72,0.62,0.55,0.58,0.55
Sri Lanka,0.187,0.319,0.111,0.171,0.4,0.21,0.577,0.363,0.353,0.05,0.109,0.42,119,0.45,0.82,0.62,0.55,0.62,0.55
Bangladesh,0.052,0.05,0.05,0.055,0.502,0.557,0.535,0.439,0.063,0.156,0.05,0.08,98,0.45,0.78,0.58,0.48,0.55,0.5
Ireland,0.305,0.431,0.291,0.239,0.062,0.099,0.05,0.05,0.316,0.262,0.272,0.72,96,0.68,0.42,0.72,0.65,0.7,0.68
Scotland,0.15,0.258,0.187,0.05,0.104,0.248,0.063,0.051,0.243,0.201,0.194,0.328,46,0.62,0.35,0.65,0.62,0.65,0.6
Netherlands,0.139,0.179,0.168,0.088,0.118,0.05,0.138,0.143,0.05,0.176,0.052,0.288,37,0.55,0.35,0.6,0.52,0.55,0.55
