team,win_rate,recent_win_rate,chase_win_rate,defend_win_rate,bat_pp_rpo,bat_mid_rpo,bat_death_rpo,bowl_pp_eco,bowl_mid_eco,bowl_death_eco,n_matches
Australia,0.753,0.85,0.824,0.731,6.58,7.38,8.74,5.67,6.13,7.01,150.0
India,0.516,0.55,0.547,0.519,6.48,6.63,7.89,6.09,6.54,7.43,159.0
England,0.727,0.6,0.744,0.719,6.63,6.95,8.21,5.84,6.01,7.21,172.0
New Zealand,0.516,0.55,0.5,0.552,6.17,6.35,7.8,6.01,6.23,7.32,128.0
South Africa,0.446,0.5,0.542,0.38,5.89,6.23,7.93,5.82,6.58,7.98,148.0
West Indies,0.433,0.4,0.446,0.417,5.41,5.9,6.52,6.0,6.06,7.6,134.0
Pakistan,0.343,0.2,0.333,0.364,4.85,5.43,6.56,5.84,6.08,7.83,137.0
Sri Lanka,0.336,0.35,0.44,0.273,5.32,5.36,6.56,6.2,6.19,7.79,119.0
Bangladesh,0.296,0.25,0.25,0.366,4.58,5.0,6.21,5.8,6.1,7.43,98.0
Ireland,0.417,0.6,0.415,0.419,5.56,5.75,6.71,5.84,6.34,7.69,96.0
Scotland,0.348,0.35,0.333,0.364,5.0,5.33,5.84,5.54,6.15,7.51,46.0
Netherlands,0.216,0.3,0.105,0.333,4.64,5.18,5.87,6.22,6.23,7.37,37.0
