team,England,Ireland,Scotland,Netherlands,India,Pakistan,Sri Lanka,Bangladesh,Australia,New Zealand,South Africa,West Indies,UAE,Zimbabwe,Other
Australia,0.65,0.55,0.55,0.55,0.4,0.3,0.3,0.28,1.0,0.82,0.72,0.52,0.4,0.6,0.5
India,0.4,0.3,0.28,0.3,1.0,0.82,0.8,0.82,0.42,0.4,0.4,0.48,0.72,0.5,0.48
England,1.0,0.92,0.9,0.9,0.3,0.22,0.22,0.2,0.62,0.7,0.52,0.42,0.28,0.42,0.45
New Zealand,0.72,0.62,0.62,0.62,0.3,0.22,0.25,0.22,0.82,1.0,0.72,0.42,0.3,0.55,0.48
South Africa,0.52,0.42,0.42,0.42,0.3,0.28,0.28,0.25,0.72,0.72,1.0,0.52,0.4,0.65,0.5
West Indies,0.42,0.32,0.3,0.32,0.4,0.38,0.38,0.36,0.52,0.42,0.52,1.0,0.4,0.48,0.45
Pakistan,0.22,0.15,0.15,0.18,0.72,1.0,0.8,0.78,0.28,0.25,0.28,0.38,0.92,0.48,0.42
Sri Lanka,0.22,0.15,0.15,0.18,0.8,0.78,1.0,0.82,0.28,0.25,0.28,0.38,0.82,0.48,0.42
Bangladesh,0.18,0.12,0.12,0.12,0.82,0.78,0.8,1.0,0.22,0.2,0.22,0.32,0.72,0.4,0.38
Ireland,0.9,1.0,0.85,0.82,0.2,0.15,0.15,0.12,0.4,0.48,0.38,0.3,0.18,0.3,0.35
Scotland,0.82,0.85,1.0,0.78,0.18,0.12,0.12,0.1,0.32,0.4,0.3,0.22,0.15,0.28,0.3
Netherlands,0.82,0.8,0.8,1.0,0.18,0.15,0.15,0.12,0.38,0.48,0.38,0.28,0.2,0.3,0.35
