venue,region,n,reliability,avg1st,chase_wr,bat_improve,bowl_improve,dew_factor,bat_pp,bat_mid,bat_death,bowl_pp,bowl_mid,bowl_death,bat_assist,fast_assist,spin_assist,toss_importance,is_2026_wc_venue
Manuka Oval,Australia,9,medium,146.0,0.56,0.45,0.55,0.2,0.76,0.78,0.68,0.34,0.32,0.42,0.62,0.74,0.36,0.322,False
Junction Oval,Australia,9,medium,130.0,0.44,0.45,0.55,0.2,0.54,0.61,0.63,0.56,0.49,0.47,0.44,0.74,0.36,0.322,False
North Sydney Oval,Australia,6,medium,156.0,0.67,0.45,0.55,0.2,0.9,0.89,0.86,0.2,0.21,0.24,0.73,0.74,0.36,0.371,False
Adelaide Oval,Australia,5,medium,155.0,0.25,0.45,0.55,0.2,0.55,0.55,0.55,0.55,0.55,0.55,0.72,0.74,0.36,0.395,False
W.A.C.A. Ground,Australia,4,low,128.0,0.75,0.45,0.55,0.2,0.55,0.55,0.55,0.55,0.55,0.55,0.43,0.74,0.36,0.403,False
Allan Border Field,Australia,4,low,134.0,0.75,0.45,0.55,0.2,0.55,0.55,0.55,0.55,0.55,0.55,0.48,0.74,0.36,0.403,False
"Manuka Oval, Canberra",Australia,4,low,159.0,0.5,0.45,0.55,0.2,0.55,0.55,0.55,0.55,0.55,0.55,0.77,0.74,0.36,0.359,False
"North Sydney Oval, Sydney",Australia,3,low,159.0,1.0,0.45,0.55,0.2,0.55,0.55,0.55,0.55,0.55,0.55,0.77,0.74,0.36,0.447,False
Sydney Showground Stadium,Australia,3,low,137.0,0.0,0.45,0.55,0.2,0.55,0.55,0.55,0.55,0.55,0.55,0.52,0.74,0.36,0.447,False
Sylhet Stadium,Bangladesh,23,high,129.0,0.3,0.42,0.58,0.58,0.53,0.74,0.77,0.57,0.36,0.33,0.43,0.32,0.82,0.466,False
Sylhet International Cricket Stadium,Bangladesh,14,high,124.0,0.29,0.42,0.58,0.58,0.63,0.77,0.79,0.47,0.33,0.31,0.38,0.32,0.82,0.491,False
"Shere Bangla National Stadium, Mirpur",Bangladesh,6,medium,126.0,0.5,0.42,0.58,0.58,0.88,0.61,0.73,0.22,0.49,0.37,0.39,0.32,0.82,0.486,False
"Zahur Ahmed Chowdhury Stadium, Chattogram",Bangladesh,3,low,111.0,0.33,0.42,0.58,0.58,0.55,0.55,0.55,0.55,0.55,0.55,0.24,0.32,0.82,0.559,False
Shere Bangla National Stadium,Bangladesh,3,low,115.0,0.67,0.42,0.58,0.58,0.55,0.55,0.55,0.55,0.55,0.55,0.28,0.32,0.82,0.559,False
County Ground,England,23,high,141.0,0.3,0.35,0.65,0.45,0.66,0.7,0.7,0.44,0.4,0.4,0.57,0.78,0.32,0.42,True
"Edgbaston, Birmingham",England,16,high,136.0,0.56,0.35,0.65,0.45,0.7,0.75,0.8,0.4,0.35,0.3,0.51,0.78,0.32,0.58,True
"County Ground, Hove",England,7,medium,119.0,0.57,0.35,0.65,0.45,0.9,0.69,0.6,0.2,0.41,0.5,0.32,0.78,0.32,0.59,True
"County Ground, Chelmsford",England,6,medium,147.0,0.5,0.35,0.65,0.45,0.74,0.8,0.78,0.36,0.3,0.32,0.64,0.78,0.32,0.52,True
The Cooper Associates County Ground,England,4,low,135.8,0.25,0.35,0.65,0.45,0.55,0.55,0.55,0.55,0.55,0.55,0.95,0.78,0.32,0.38,True
"County Ground, Derby",England,4,low,142.0,0.75,0.35,0.65,0.45,0.55,0.55,0.55,0.55,0.55,0.55,0.58,0.78,0.32,0.68,True
"Kennington Oval, London",England,3,low,153.0,0.33,0.35,0.65,0.45,0.55,0.55,0.55,0.55,0.55,0.55,0.7,0.78,0.32,0.44,True
"County Ground, Bristol",England,3,low,157.0,0.33,0.35,0.65,0.45,0.55,0.55,0.55,0.55,0.55,0.55,0.74,0.78,0.32,0.44,True
"St Lawrence Ground, Canterbury",England,3,low,152.0,0.67,0.35,0.65,0.45,0.55,0.55,0.55,0.55,0.55,0.55,0.69,0.78,0.32,0.62,True
Brabourne Stadium,India,7,medium,157.0,0.71,0.58,0.42,0.68,0.69,0.87,0.7,0.41,0.23,0.4,0.74,0.32,0.82,0.576,False
Feroz Shah Kotla,India,6,medium,111.0,0.83,0.58,0.42,0.68,0.77,0.69,0.49,0.33,0.41,0.61,0.23,0.32,0.82,0.611,False
M Chinnaswamy Stadium,India,4,low,132.0,0.25,0.58,0.42,0.68,0.55,0.55,0.55,0.55,0.55,0.55,0.47,0.32,0.82,0.613,False
"MA Chidambaram Stadium, Chepauk",India,4,low,139.0,0.0,0.58,0.42,0.68,0.55,0.55,0.55,0.55,0.55,0.55,0.54,0.32,0.82,0.656,False
"Brabourne Stadium, Mumbai",India,3,low,134.0,0.0,0.58,0.42,0.68,0.55,0.55,0.55,0.55,0.55,0.55,0.95,0.32,0.82,0.661,False
"Wankhede Stadium, Mumbai",India,3,low,134.0,0.67,0.58,0.42,0.68,0.55,0.55,0.55,0.55,0.55,0.55,0.49,0.32,0.82,0.613,False
YMCA Cricket Club,Ireland,11,high,137.0,0.3,0.38,0.62,0.5,0.71,0.68,0.83,0.39,0.42,0.27,0.52,0.74,0.28,0.431,False
"Castle Avenue, Dublin",Ireland,6,medium,161.0,0.67,0.38,0.62,0.5,0.9,0.66,0.79,0.2,0.44,0.31,0.79,0.74,0.28,0.447,False
"Pembroke Cricket Club, Sandymount, Dublin",Ireland,5,medium,134.0,0.6,0.38,0.62,0.5,0.81,0.86,0.74,0.29,0.24,0.36,0.49,0.74,0.28,0.441,False
"Bready Cricket Club, Magheramason, Bready",Ireland,5,medium,117.0,0.25,0.38,0.62,0.5,0.55,0.55,0.55,0.55,0.55,0.55,0.3,0.74,0.28,0.471,False
"The Village, Malahide, Dublin",Ireland,4,low,124.0,0.75,0.38,0.62,0.5,0.55,0.55,0.55,0.55,0.55,0.55,0.37,0.74,0.28,0.477,False
